0     aatrox               a               b                                        c                    d
307   deadly               temp_word_type  làm chết người, trí mạng, chí tử         temp_pronunciation   temp_word_example
308   dearth               temp_word_type  sự khan hiếm, đói kém                    temp_pronunciation   temp_word_example
309   debate               temp_word_type  cuộc tranh luận, tranh luận              temp_pronunciation   temp_word_example
310   deceased             temp_word_type  đã chết, qua đời                         temp_pronunciation   temp_word_example
311   decoration           temp_word_type  sự trang hoàng, trang trí                temp_pronunciation   temp_word_example
312   dedicated            temp_word_type  tận tâm, tận tụy                         temp_pronunciation   temp_word_example
313   deduct               temp_word_type  trừ đi, khấu trừ                         temp_pronunciation   temp_word_example
314   defend               temp_word_type  bảo vệ, biện hộ                          temp_pronunciation   temp_word_example
315   defy                 temp_word_type  thách thức, thách đố, bất chấp           temp_pronunciation   temp_word_example
316   deliberate           temp_word_type  chủ tâm, cố ý; cân nhắc, tính toán kỹ lưỡng temp_pronunciation   temp_word_example
317   delicate             temp_word_type  thanh nhã, thanh tú, tinh tế, khéo léo   temp_pronunciation   temp_word_example
318   delight              temp_word_type  sự vui sướng, rạng rỡ                    temp_pronunciation   temp_word_example
319   delighted            temp_word_type  vui mừng, vui sướng                      temp_pronunciation   temp_word_example
320   demeanor             temp_word_type  phong thái, cử chỉ                       temp_pronunciation   temp_word_example
321   demerit              temp_word_type  điều lầm lỗi, đáng trách                 temp_pronunciation   temp_word_example
322   democracy            temp_word_type  nền dân chủ, chế độ dân chủ              temp_pronunciation   temp_word_example
323   democrat             temp_word_type  người theo chế độ dân chủ                temp_pronunciation   temp_word_example
324   demolish             temp_word_type  phá hủy, đánh đổ                         temp_pronunciation   temp_word_example
325   demonstration        temp_word_type  sự thấu hiểu, biểu hiện, sự chứng minh, thuyết minh, cuộc biểu tình, tuần hành temp_pronunciation   temp_word_example
326   dense                temp_word_type  dày đặc, đông đúc, rậm rạp               temp_pronunciation   temp_word_example
327   deny                 temp_word_type  từ chối, phủ nhận                        temp_pronunciation   temp_word_example
328   descendant           temp_word_type  hậu duệ, con cháu                        temp_pronunciation   temp_word_example
329   desperate            temp_word_type  tuyệt vọng, hết hy vọng                  temp_pronunciation   temp_word_example
330   despise              temp_word_type  xem thường, khinh thường                 temp_pronunciation   temp_word_example
331   destiny              temp_word_type  vận số, số mệnh                          temp_pronunciation   temp_word_example
332   destitute            temp_word_type  thiếu thốn, nghèo túng                   temp_pronunciation   temp_word_example
333   destroy              temp_word_type  phá hoại, phá huỷ, tàn phá               temp_pronunciation   temp_word_example
334   detain               temp_word_type  ngăn cản, cản trở                        temp_pronunciation   temp_word_example
335   deter                temp_word_type  ngăn cản, cản trở                        temp_pronunciation   temp_word_example
336   deteriorate          temp_word_type  hư hỏng, giảm giá trị                    temp_pronunciation   temp_word_example
337   determined           temp_word_type  đã xác định rõ, quyết tâm, kiên quyết    temp_pronunciation   temp_word_example
338   detest               temp_word_type  ghét cay đắng, ghê tởm                   temp_pronunciation   temp_word_example
339   devastate            temp_word_type  tàn phá, phá huỷ                         temp_pronunciation   temp_word_example
340   dialogue             temp_word_type  cuộc đối thoại, đoạn đối thoại           temp_pronunciation   temp_word_example
341   differ               temp_word_type  không tán thành, không giống             temp_pronunciation   temp_word_example
342   difficulty           temp_word_type  trở ngại, điều khó khăn                  temp_pronunciation   temp_word_example
343   dilemma              temp_word_type  thế tiến thoái lưỡng nan, tình trạng khó xử temp_pronunciation   temp_word_example
344   direction            temp_word_type  phương hướng, chiều sự chỉ bảo, hướng dẫn temp_pronunciation   temp_word_example
345   dirty                temp_word_type  dơ bẩn, đê tiện                          temp_pronunciation   temp_word_example
346   disagree             temp_word_type  không khớp, không hợp bất đồng, không đồng ý temp_pronunciation   temp_word_example
347   disaster             temp_word_type  thảm họa, tai ương                       temp_pronunciation   temp_word_example
348   disclose             temp_word_type  vạch trần, phơi bày                      temp_pronunciation   temp_word_example
349   discount             temp_word_type  giảm giá                                 temp_pronunciation   temp_word_example
350   disgrace             temp_word_type  sự ô nhục, hổ thẹn; làm nhục nhã         temp_pronunciation   temp_word_example
351   dishonor             temp_word_type  vô danh dự, thiếu uy tín                 temp_pronunciation   temp_word_example
352   disobedient          temp_word_type  không tuân thủ, làm trái                 temp_pronunciation   temp_word_example
353   dispute              temp_word_type  cuộc tranh cãi; bàn cãi, tranh luận      temp_pronunciation   temp_word_example
354   distant              temp_word_type  xa cách, lạnh nhạt                       temp_pronunciation   temp_word_example
355   distress             temp_word_type  nỗi đau khổ, buồn bực; làm đau khổ, đau đớn temp_pronunciation   temp_word_example
356   disturb              temp_word_type  quấy rầy, khuấy động                     temp_pronunciation   temp_word_example
357   disturbance          temp_word_type  sự nhiễu loạn, náo động                  temp_pronunciation   temp_word_example
358   diverse              temp_word_type  đa dạng, linh tinh                       temp_pronunciation   temp_word_example
359   divide               temp_word_type  chia cắt ra, phân cắt                    temp_pronunciation   temp_word_example
360   divulge              temp_word_type  để lộ ra                                 temp_pronunciation   temp_word_example
361   docile               temp_word_type  dễ bảo, dễ sai khiến                     temp_pronunciation   temp_word_example
362   doubtful             temp_word_type  ngờ vực, hồ nghi                         temp_pronunciation   temp_word_example
363   drab                 temp_word_type  đều đều, buồn tẻ, xám xịt                temp_pronunciation   temp_word_example
364   dreadful             temp_word_type  kinh khiếp, tồi tệ                       temp_pronunciation   temp_word_example
365   dream                temp_word_type  giấc mơ; nằm mơ thấy, mơ ước, tưởng tượng temp_pronunciation   temp_word_example
366   dreary               temp_word_type  tồi tàn, ảm đạm, thê lương               temp_pronunciation   temp_word_example
367   drowsy               temp_word_type  mơ màng, ngủ gà ngủ gật, uể oải          temp_pronunciation   temp_word_example
368   dubious              temp_word_type  lờ mờ, mơ hồ, không minh bạch, rõ ràng   temp_pronunciation   temp_word_example
369   dull                 temp_word_type  chậm hiểu, tối dạ; làm cho đần độn đục, mờ, cùn temp_pronunciation   temp_word_example
370   dumb                 temp_word_type  câm, không có tiếng nói; làm điếng người temp_pronunciation   temp_word_example
371   duplicate            temp_word_type  bản sao                                  temp_pronunciation   temp_word_example
372   dusk                 temp_word_type  chạng vạng, lúc tối nha nhem             temp_pronunciation   temp_word_example
373   eager                temp_word_type  hăm hở, háo hức                          temp_pronunciation   temp_word_example
374   easy                 temp_word_type  dễ dàng                                  temp_pronunciation   temp_word_example
375   elated               temp_word_type  phấn khích, phấn khởi                    temp_pronunciation   temp_word_example
376   elective             temp_word_type  chọn lọc bằng bầu cử                     temp_pronunciation   temp_word_example
377   elegant              temp_word_type  thanh lịch, tao nhã, đoan trang          temp_pronunciation   temp_word_example
378   elevate              temp_word_type  nâng lên, đưa lên, nâng cao              temp_pronunciation   temp_word_example
379   elite                temp_word_type  tinh tú, ưu tú                           temp_pronunciation   temp_word_example
380   elusive              temp_word_type  hay lảng tránh, thoái thác, khó nắm bắt  temp_pronunciation   temp_word_example
381   embarrass            temp_word_type  làm xấu hổ, lúng túng                    temp_pronunciation   temp_word_example
382   emphatically         temp_word_type  mạnh mẽ, dứt khoát                       temp_pronunciation   temp_word_example
383   empty                temp_word_type  trống, rỗng, trống không                 temp_pronunciation   temp_word_example
384   encourage            temp_word_type  khuyên khích, cổ vũ                      temp_pronunciation   temp_word_example
385   endorse              temp_word_type  chứng thực, xác nhận, tán thành          temp_pronunciation   temp_word_example
386   engrossing           temp_word_type  choán hết thời gian, quá cuốn hút        temp_pronunciation   temp_word_example
387   enjoy                temp_word_type  thích thú, khoái                         temp_pronunciation   temp_word_example
388   enlarge              temp_word_type  mở rộng, phóng to                        temp_pronunciation   temp_word_example
389   enormous             temp_word_type  to lớn, khổng lồ                         temp_pronunciation   temp_word_example
390   enquire              temp_word_type  điều tra, thẩm tra                       temp_pronunciation   temp_word_example
391   enraged              temp_word_type  nổi giận, nổi khùng                      temp_pronunciation   temp_word_example
392   entertaining         temp_word_type  có tính giải trí, thú vị                 temp_pronunciation   temp_word_example
393   entrance             temp_word_type  sự đi vào, cổng vào, lối vào sự gia nhập, quyền tham gia temp_pronunciation   temp_word_example
394   entrepreneur         temp_word_type  người phụ trách hãng buôn                temp_pronunciation   temp_word_example
395   envious              temp_word_type  thèm muốn, đố kỵ, ghen tị                temp_pronunciation   temp_word_example
396   envisage             temp_word_type  dự tính, nhìn trước                      temp_pronunciation   temp_word_example
397   envy                 temp_word_type  sự thèm muốn, nỗi ghen tỵ; them muốn, đố kỵ temp_pronunciation   temp_word_example
398   epitome              temp_word_type  bản tóm tắt                              temp_pronunciation   temp_word_example
399   equivalent           temp_word_type  vật tương đương; tương đương             temp_pronunciation   temp_word_example
400   escalate             temp_word_type  leo thang (nghĩa bóng)                   temp_pronunciation   temp_word_example
401   essential            temp_word_type  (thuộc) bản chất, thiết yếu, cốt yếu     temp_pronunciation   temp_word_example
402   eternal              temp_word_type  đời đời, vĩnh viễn, bất diệt             temp_pronunciation   temp_word_example
403   ethical              temp_word_type  (thuộc) đạo đức, luân thường đạo lý      temp_pronunciation   temp_word_example
404   evaluate             temp_word_type  ước lượng, định giá                      temp_pronunciation   temp_word_example
405   evil                 temp_word_type  xấu xa, ác độc                           temp_pronunciation   temp_word_example
406   exactly              temp_word_type  chính xác, đúng như vậy                  temp_pronunciation   temp_word_example
407   exaggerate           temp_word_type  thổi phồng, phóng đại, làm quá lên       temp_pronunciation   temp_word_example
408   examine              temp_word_type  khám xét, khảo sát                       temp_pronunciation   temp_word_example
409   except               temp_word_type  trừ ra, không kể đến                     temp_pronunciation   temp_word_example
410   exceptional          temp_word_type  khác thường, ngoại lệ                    temp_pronunciation   temp_word_example
411   execute              temp_word_type  thực hiện, thi hành                      temp_pronunciation   temp_word_example
412   exemplary            temp_word_type  gương mẫu, mẫu mực                       temp_pronunciation   temp_word_example
413   exempt               temp_word_type  được miễn (thuế...), không phải thực hiện temp_pronunciation   temp_word_example
414   exhaust              temp_word_type  làm kiệt quệ, dốc cạn sức lực            temp_pronunciation   temp_word_example
415   exit                 temp_word_type  lối ra, lối thoát; thoát ra, biến mất    temp_pronunciation   temp_word_example
416   expert               temp_word_type  chuyên môn, thành thạo, thông thạo       temp_pronunciation   temp_word_example
417   explain              temp_word_type  giải thích, lý giải                      temp_pronunciation   temp_word_example
418   extinct              temp_word_type  tuyệt chủng, tuyệt giống                 temp_pronunciation   temp_word_example
419   extra                temp_word_type  thêm, phụ vào; thêm vào; phần phụ thêm   temp_pronunciation   temp_word_example
420   extravagant          temp_word_type  quá mức, quá độ                          temp_pronunciation   temp_word_example
421   extremist            temp_word_type  người cực đoan, quá khích                temp_pronunciation   temp_word_example
422   eye-opener           temp_word_type  điều làm cho tỉnh ngộ, khai sáng         temp_pronunciation   temp_word_example
423   fair                 temp_word_type  hội chợ; đúng, hợp lý, công bằng         temp_pronunciation   temp_word_example
424   fairly               temp_word_type  công bằng, không thiên vị kha khá        temp_pronunciation   temp_word_example
425   faithful             temp_word_type  trung thành, chung thủy                  temp_pronunciation   temp_word_example
426   famous               temp_word_type  nổi tiếng, trứ danh                      temp_pronunciation   temp_word_example
427   fanatic              temp_word_type  người cuồng tín                          temp_pronunciation   temp_word_example
428   fantastic            temp_word_type  tuyệt vời, vô cùng tốt                   temp_pronunciation   temp_word_example
429   far flung            temp_word_type  xa rộng                                  temp_pronunciation   temp_word_example
430   fast                 temp_word_type  nhanh chóng, mau                         temp_pronunciation   temp_word_example
431   fat                  temp_word_type  chất béo; béo phì, thừa cân              temp_pronunciation   temp_word_example
432   fatal                temp_word_type  tiền định, không tránh được tai hại, gây tai họa, chí mạng temp_pronunciation   temp_word_example
433   fate                 temp_word_type  định mệnh, số phận                       temp_pronunciation   temp_word_example
434   fatigue              temp_word_type  sự mệt mỏi, mệt nhọc                     temp_pronunciation   temp_word_example
435   feasible             temp_word_type  khả thi, có thể thực hiện được           temp_pronunciation   temp_word_example
436   feeble               temp_word_type  yếu đuối, nhu nhược                      temp_pronunciation   temp_word_example
437   ferry                temp_word_type  phà; chở bằng phà                        temp_pronunciation   temp_word_example
438   fetch                temp_word_type  tìm về, đem về đấm thụi, thọi            temp_pronunciation   temp_word_example
439   fiction              temp_word_type  điều hư cấu, tưởng tượng tiểu thuyết     temp_pronunciation   temp_word_example
440   fill                 temp_word_type  làm đầy, nhồi đầy                        temp_pronunciation   temp_word_example
441   film                 temp_word_type  phim ảnh                                 temp_pronunciation   temp_word_example
442   fine                 temp_word_type  tốt, khỏe                                temp_pronunciation   temp_word_example
443   finish               temp_word_type  sự kết liễu, phần kết thúc; hoàn thành, kết thúc temp_pronunciation   temp_word_example
444   fire                 temp_word_type  lửa, ánh lửa; đốt cháy; sa thải          temp_pronunciation   temp_word_example
445   firm                 temp_word_type  hãng, công ty; chắc chắn, vững chắc      temp_pronunciation   temp_word_example
446   fitting              temp_word_type  phù hợp, thích hợp                       temp_pronunciation   temp_word_example
447   flaw                 temp_word_type  thiếu sót, sai lầm                       temp_pronunciation   temp_word_example
448   flawless             temp_word_type  hoàn hảo, không tì vết                   temp_pronunciation   temp_word_example
449   flinch               temp_word_type  chùn bước, nao núng                      temp_pronunciation   temp_word_example
450   flippant             temp_word_type  suồng sã, nhả nhớt                       temp_pronunciation   temp_word_example
451   flourish             temp_word_type  nét trang trí hoa mỹ, thịnh vượng, phát đạt temp_pronunciation   temp_word_example
452   fluke                temp_word_type  sự may mắn                               temp_pronunciation   temp_word_example
453   fond                 temp_word_type  yêu mến, yêu dấu                         temp_pronunciation   temp_word_example
454   forbid               temp_word_type  cấm, ngăn cấm                            temp_pronunciation   temp_word_example
455   forcefully           temp_word_type  mạnh mẽ, sinh động                       temp_pronunciation   temp_word_example
456   formerly             temp_word_type  trước đây, thuở xưa                      temp_pronunciation   temp_word_example
457   fortunate            temp_word_type  may mắn, thuận lợi                       temp_pronunciation   temp_word_example
458   fraction             temp_word_type  phần nhỏ, miếng nhỏ                      temp_pronunciation   temp_word_example
459   fracture             temp_word_type  (y học) sự gãy; chỗ gãy (xương)          temp_pronunciation   temp_word_example
460   fragile              temp_word_type  dễ vỡ, yếu ớt                            temp_pronunciation   temp_word_example
461   fraud                temp_word_type  sự gian lận, lừa dối                     temp_pronunciation   temp_word_example
462   freak                temp_word_type  quái vật, thứ dị thường; quái dị         temp_pronunciation   temp_word_example
463   freezing             temp_word_type  giá lạnh, rét mướt                       temp_pronunciation   temp_word_example
464   frequently           temp_word_type  thường xuyên                             temp_pronunciation   temp_word_example
465   frigid               temp_word_type  giá lạnh, nhạt nhẽo                      temp_pronunciation   temp_word_example
466   frivolous            temp_word_type  phù phiếm, nhẹ dạ                        temp_pronunciation   temp_word_example
467   frosty               temp_word_type  băng giá, giá rét                        temp_pronunciation   temp_word_example
468   fuddy-duddy          temp_word_type  người cổ hủ; cổ hủ, lỗi thời             temp_pronunciation   temp_word_example
469   fulfillment          temp_word_type  hoàn chỉnh                               temp_pronunciation   temp_word_example
470   fun                  temp_word_type  sự vui đùa, niềm vui thích; vui vẻ       temp_pronunciation   temp_word_example
471   function             temp_word_type  chức năng; hoạt động, thực hiện chức năng temp_pronunciation   temp_word_example
472   funny                temp_word_type  buồn cười, hài hước                      temp_pronunciation   temp_word_example
473   furious              temp_word_type  giận dữ, điên tiết                       temp_pronunciation   temp_word_example
474   future               temp_word_type  tương lai                                temp_pronunciation   temp_word_example
475   gain                 temp_word_type  lợi lộc, lợi ích; đạt được               temp_pronunciation   temp_word_example
476   garbage              temp_word_type  rác rưởi                                 temp_pronunciation   temp_word_example
477   garish               temp_word_type  lòe loẹt, sặc sỡ                         temp_pronunciation   temp_word_example
478   gather               temp_word_type  tập hợp, tụ họp hái, lượm                temp_pronunciation   temp_word_example
479   gaudy                temp_word_type  lòe loẹt, cầu kỳ                         temp_pronunciation   temp_word_example
480   gaunt                temp_word_type  hoang vắng, thê lương, buồn thảm         temp_pronunciation   temp_word_example
481   gender               temp_word_type  giống, giới tính                         temp_pronunciation   temp_word_example
482   generous             temp_word_type  rộng lượng, khoan thai                   temp_pronunciation   temp_word_example
483   genuine              temp_word_type  thành thật, chân thật                    temp_pronunciation   temp_word_example
484   gesture              temp_word_type  điệu bộ, cử chỉ, động tác                temp_pronunciation   temp_word_example
485   get                  temp_word_type  có được, kiếm được, nhận được            temp_pronunciation   temp_word_example
486   glad                 temp_word_type  vui lòng, sung sướng                     temp_pronunciation   temp_word_example
487   glare                temp_word_type  nhìn trừng trừng; cái nhìn, ánh nhìn giận dữ; temp_pronunciation   temp_word_example
488   glimpse              temp_word_type  cái nhìn lướt qua; nhìn thoáng qua       temp_pronunciation   temp_word_example
489   glitter              temp_word_type  lấp lánh                                 temp_pronunciation   temp_word_example
490   gloomy               temp_word_type  tối tăm, u ám, ảm đạm                    temp_pronunciation   temp_word_example
491   glossy               temp_word_type  bóng loáng, hào nhoáng                   temp_pronunciation   temp_word_example
492   government           temp_word_type  sự cai trị, thống trị chính phủ, chính quyền temp_pronunciation   temp_word_example
493   grab                 temp_word_type  sự chộp, túm lấy; vồ, giật               temp_pronunciation   temp_word_example
494   gracious             temp_word_type  hòa nhã, lịch thiệp                      temp_pronunciation   temp_word_example
495   great                temp_word_type  to lớn, vĩ đại                           temp_pronunciation   temp_word_example
496   gregarious           temp_word_type  thích đàn đúm, giao du                   temp_pronunciation   temp_word_example
497   grief                temp_word_type  nỗi sầu khổ                              temp_pronunciation   temp_word_example
498   grim                 temp_word_type  dữ tợn, nhẫn tâm                         temp_pronunciation   temp_word_example
499   grouse               temp_word_type  sự càu nhàu; cằn nhằn, càu nhàu          temp_pronunciation   temp_word_example
500   gruesome             temp_word_type  khủng khiếp, kinh khủng                  temp_pronunciation   temp_word_example
501   grumble              temp_word_type  sự càu nhàu, cằn nhằn; càu nhàu          temp_pronunciation   temp_word_example
502   guarantee            temp_word_type  sự bảo đảm, cam đoan, bảo lãnh; hứa chắc chắn, cam đoan, bảo đảm temp_pronunciation   temp_word_example
503   guard                temp_word_type  sự đề phòng; bảo vệ, canh giữ            temp_pronunciation   temp_word_example
504   guilt                temp_word_type  tội lỗi                                  temp_pronunciation   temp_word_example
505   guiltless            temp_word_type  không phạm tội, không biết tí gì, không có tí nào temp_pronunciation   temp_word_example
506   hallucination        temp_word_type  ảo giác                                  temp_pronunciation   temp_word_example
507   halt                 temp_word_type  sự dừng lại, tạm nghỉ; cho dừng lại, lưỡng lự, do dự temp_pronunciation   temp_word_example
508   handover             temp_word_type  sự bàn giao                              temp_pronunciation   temp_word_example
509   handsome             temp_word_type  đẹp trai, ưa nhìn                        temp_pronunciation   temp_word_example
510   handy                temp_word_type  thuận tiện, sẵn tiện                     temp_pronunciation   temp_word_example
511   hard                 temp_word_type  cứng, rắn, hà khắc; khắc nghiệt; hết sức temp_pronunciation   temp_word_example
512   harmless             temp_word_type  vô hại, không làm hại ai được            temp_pronunciation   temp_word_example
513   havoc                temp_word_type  sự tàn phá                               temp_pronunciation   temp_word_example
514   hazard               temp_word_type  sự may rủi, mối nguy; phó thác cho may rủi, đánh bạo temp_pronunciation   temp_word_example
515   hazy                 temp_word_type  lờ mờ, mơ hồ, ngà ngà say                temp_pronunciation   temp_word_example
516   heartless            temp_word_type  vô tâm, nhẫn tâm                         temp_pronunciation   temp_word_example
517   heed                 temp_word_type  chú ý, sự lưu ý, sự để ý                 temp_pronunciation   temp_word_example
518   helpful              temp_word_type  có ích, giúp ích                         temp_pronunciation   temp_word_example
519   heroic               temp_word_type  tính chất anh hùng, quả cảm, can đảm     temp_pronunciation   temp_word_example
520   hesitant             temp_word_type  do dự, ngập ngừng, lưỡng lự              temp_pronunciation   temp_word_example
521   hint                 temp_word_type  lời gợi ý, bóng gió; gợi ý, ám chỉ       temp_pronunciation   temp_word_example
522   hire                 temp_word_type  sự cho thuê; cho thuê, mướn              temp_pronunciation   temp_word_example
523   honest               temp_word_type  trung thực, chân thật                    temp_pronunciation   temp_word_example
524   honorable            temp_word_type  đáng tôn kính, đáng kính trọng           temp_pronunciation   temp_word_example
525   hop                  temp_word_type  bước nhảy; nhảy cẫng                     temp_pronunciation   temp_word_example
526   horrible             temp_word_type  xấu xa, khủng khiếp                      temp_pronunciation   temp_word_example
527   huge                 temp_word_type  to lớn, đồ sộ                            temp_pronunciation   temp_word_example
528   humble               temp_word_type  khiêm tốn, nhún nhường                   temp_pronunciation   temp_word_example
529   humiliate            temp_word_type  làm nhục, làm bẽ mặt                     temp_pronunciation   temp_word_example
530   hurry                temp_word_type  sự vội vàng, hấp tấp; thúc giục, bắt làm gấp temp_pronunciation   temp_word_example
531   hypnotize            temp_word_type  thôi miên                                temp_pronunciation   temp_word_example
532   identical            temp_word_type  y hệt, giống nhau                        temp_pronunciation   temp_word_example
533   idiot                temp_word_type  đồ ngốc                                  temp_pronunciation   temp_word_example
534   ignore               temp_word_type  phớt lờ, bỏ qua                          temp_pronunciation   temp_word_example
535   illusion             temp_word_type  ảo tưởng, ảo giác                        temp_pronunciation   temp_word_example
536   imitate              temp_word_type  theo gương, noi theo, mô phỏng           temp_pronunciation   temp_word_example
537   immaculate           temp_word_type  trong trắng, không vết,  không khuyết điểm temp_pronunciation   temp_word_example
538   immediate            temp_word_type  trực tiếp, ngay tức thì, ngay lập tức    temp_pronunciation   temp_word_example
539   imminent             temp_word_type  sắp xảy ra                               temp_pronunciation   temp_word_example
540   impact               temp_word_type  sự va chạm, tác động, ảnh hưởng          temp_pronunciation   temp_word_example
541   impaired             temp_word_type  suy yếu, khiếm khuyết                    temp_pronunciation   temp_word_example
542   impartial            temp_word_type  công bằng, không thiên vị                temp_pronunciation   temp_word_example
543   impish               temp_word_type  nghèo túng, thiếu thốn                   temp_pronunciation   temp_word_example
544   implore              temp_word_type  cầu khẩn, khẩn nài                       temp_pronunciation   temp_word_example
545   impoverished         temp_word_type  làm mất công dụng                        temp_pronunciation   temp_word_example
546   inadequate           temp_word_type  không tương xứng, không thích đáng       temp_pronunciation   temp_word_example
547   inappropriate        temp_word_type  không thích hợp                          temp_pronunciation   temp_word_example
548   incarnation          temp_word_type  hiện thân, sự tạo hình                   temp_pronunciation   temp_word_example
549   increase             temp_word_type  sự tăng lên, tăng cao, tăng lên          temp_pronunciation   temp_word_example
550   indifferent          temp_word_type  lãnh đạm, thờ ơ                          temp_pronunciation   temp_word_example
551   indigenous           temp_word_type  bản xứ                                   temp_pronunciation   temp_word_example
552   indistinct           temp_word_type  không rõ ràng, lờ mờ                     temp_pronunciation   temp_word_example
553   individual           temp_word_type  cá nhân, người, cá thể; riêng lẻ, cá nhân, tách biệt temp_pronunciation   temp_word_example
554   industrious          temp_word_type  cần cù, siêng năng                       temp_pronunciation   temp_word_example
555   inevitable           temp_word_type  không thể tránh được, chắc chắn xảy ra   temp_pronunciation   temp_word_example
556   infamous             temp_word_type  tai tiếng, ô nhục                        temp_pronunciation   temp_word_example
557   infant               temp_word_type  đứa bé còn ẵm ngửa                       temp_pronunciation   temp_word_example
558   infect               temp_word_type  nhiễm, lan truyền                        temp_pronunciation   temp_word_example
559   inferior             temp_word_type  thấp, cấp dưới                           temp_pronunciation   temp_word_example
560   inform               temp_word_type  báo tin, cho biết                        temp_pronunciation   temp_word_example
561   infuriate            temp_word_type  làm cho ai điên tiết, nổi cáu            temp_pronunciation   temp_word_example
562   ingenious            temp_word_type  khéo léo, tài tình, mưu trí              temp_pronunciation   temp_word_example
563   inhabitant           temp_word_type  người ở, dân cư, người cư trú            temp_pronunciation   temp_word_example
564   initiate             temp_word_type  người đã được vỡ lòng, khai tâm; bắt đầu, khởi xướng temp_pronunciation   temp_word_example
565   innocent             temp_word_type  vô tội, ngây thơ                         temp_pronunciation   temp_word_example
566   inroad               temp_word_type  sự xâm nhập, đột nhập                    temp_pronunciation   temp_word_example
567   insight              temp_word_type  sự hiểu thấu, sự thật ngầm hiểu          temp_pronunciation   temp_word_example
568   insomnia             temp_word_type  chứng mất ngủ                            temp_pronunciation   temp_word_example
569   inspect              temp_word_type  xét kỹ, thanh tra                        temp_pronunciation   temp_word_example
570   instantly            temp_word_type  ngay khi, ngay lập tức                   temp_pronunciation   temp_word_example
571   instruction          temp_word_type  hướng dẫn                                temp_pronunciation   temp_word_example
572   insufficient         temp_word_type  không đủ, thiếu thốn                     temp_pronunciation   temp_word_example
573   interesting          temp_word_type  thú vị, gây chú ý                        temp_pronunciation   temp_word_example
574   intolerant           temp_word_type  không dung thứ, không chịu được          temp_pronunciation   temp_word_example
575   intrude              temp_word_type  xâm nhập, xâm phạm                       temp_pronunciation   temp_word_example
576   invade               temp_word_type  xâm lược, xâm chiếm                      temp_pronunciation   temp_word_example
577   inventory            temp_word_type  sự kiểm kê, bản kiểm kê                  temp_pronunciation   temp_word_example
578   investigate          temp_word_type  điều tra nghiên cứu                      temp_pronunciation   temp_word_example
579   invincible           temp_word_type  vô địch, bất khả chiến bại               temp_pronunciation   temp_word_example
580   irrelevant           temp_word_type  không thích đáng, không liên quan        temp_pronunciation   temp_word_example
581   irritable            temp_word_type  dễ cáu, cáu kỉnh                         temp_pronunciation   temp_word_example
582   isolated             temp_word_type  cô lập, bị cách ly                       temp_pronunciation   temp_word_example
583   jealous              temp_word_type  ghen tị, đố kỵ                           temp_pronunciation   temp_word_example
584   jolly                temp_word_type  vui tươi, vui vẻ; hết sức, lắm, quá; tán tỉnh temp_pronunciation   temp_word_example
585   jovial               temp_word_type  vui vẻ, vui tính                         temp_pronunciation   temp_word_example
586   joy                  temp_word_type  sự vui mừng, hân hoan                    temp_pronunciation   temp_word_example
587   joyful               temp_word_type  vui mừng, hân hoan                       temp_pronunciation   temp_word_example
588   jubilant             temp_word_type  vui sướng, mừng rỡ                       temp_pronunciation   temp_word_example
589   junior               temp_word_type  người ít tuổi, ít thâm niên hơn; trẻ tuổi, ở cấp dưới temp_pronunciation   temp_word_example
590   killing              temp_word_type  sự giết chóc, tàn sát                    temp_pronunciation   temp_word_example
591   kind-hearted         temp_word_type  tốt bụng, có lòng tốt                    temp_pronunciation   temp_word_example
592   laborious            temp_word_type  cần cù, khó nhọc, gian khổ               temp_pronunciation   temp_word_example
593   lackadaisical        temp_word_type  đa sầu, đa cảm, yếu đuối, ủy mị          temp_pronunciation   temp_word_example
594   learn                temp_word_type  học tập, nghe được, biết được            temp_pronunciation   temp_word_example
595   leave                temp_word_type  sự cho phép; để lại, bỏ lại, bỏ quên, bỏ đi, rời đi temp_pronunciation   temp_word_example
596   lengthy              temp_word_type  dài, dài dòng                            temp_pronunciation   temp_word_example
597   lenient              temp_word_type  nhân hậu, hiền hậu, khoan dung           temp_pronunciation   temp_word_example
598   lethal               temp_word_type  làm chết người, gây chết người           temp_pronunciation   temp_word_example
599   lethargic            temp_word_type  thờ ơ, lờ phờ                            temp_pronunciation   temp_word_example
600   liable               temp_word_type  khả thi, có khả năng xảy ra              temp_pronunciation   temp_word_example
601   liberal              temp_word_type  rộng rãi, hào phóng tự do                temp_pronunciation   temp_word_example
602   libertarian          temp_word_type  người theo chủ nghĩa tự do               temp_pronunciation   temp_word_example
603   license              temp_word_type  sự cho phép, giấy phép, bằng, chứng chỉ; cho phép, cấp giấy phép temp_pronunciation   temp_word_example
604   limitation           temp_word_type  sự hạn chế, hạn định                     temp_pronunciation   temp_word_example
605   listless             temp_word_type  bơ phờ, lờ phờ                           temp_pronunciation   temp_word_example
606   literary             temp_word_type  (thuộc) văn chương, có tính văn chương, nghĩa bóng temp_pronunciation   temp_word_example
607   little               temp_word_type  nhỏ bé, ít ỏi                            temp_pronunciation   temp_word_example
608   livelihood           temp_word_type  cách sinh nhai, sinh kế                  temp_pronunciation   temp_word_example
609   load                 temp_word_type  gánh nặng, trọng tải; chất, chở, chồng chất temp_pronunciation   temp_word_example
610   loathe               temp_word_type  ghê tởm, kinh hãi                        temp_pronunciation   temp_word_example
611   local                temp_word_type  tính địa phương; người dân địa phương    temp_pronunciation   temp_word_example
